"","CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","QE01_01","QE01_02","QE01_03","QE01_04","QE01_05","QE01_06","QE01_07","SD01","SD02_01","SD03","SD03_09","TC01_01","TC01_02","TC02_01","TC02_02","KV01_01","KV01_02","KV01_03","KV01_04","KV01_05","KV01_06","KV01_07","KV02_01","KV02_02","KV02_03","KV02_04","KV03_01","KV03_02","KV03_03","KV03_04","GR01_CP","GR01","GR02_01","GR02_02","GR02_03","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
"80",226,"N1D7H4",NA,"base","interview","2018-10-08 09:18:58",5,5,3,6,4,6,7,2,48,8,"",3,3,4,1,6,2,6,3,4,5,7,3,3,3,3,6,6,6,4,3,9,2,-1,-1,4,39,906,24,101,41,21,49,19,12,341,NA,"2018-10-08 09:39:14",1,0,10,10,0,0,1.24,17
"81",228,"PPIFHN",NA,"base","interview","2018-10-08 09:20:13",6,7,7,6,5,7,7,2,60,7,"",5,4,4,2,6,6,7,6,7,5,7,5,6,4,6,4,5,5,6,3,9,2,-1,-1,12,36,52,75,142,35,31,55,18,25,481,NA,"2018-10-08 09:28:14",1,0,10,10,0,0,0.9,3
"82",229,"VT2UR0",NA,"base","interview","2018-10-08 09:20:22",7,6,4,7,7,7,6,1,30,8,"",4,4,5,1,6,5,7,6,6,3,4,7,6,6,6,NA,NA,NA,NA,3,9,2,-1,-1,6,19,13,11,54,22,18,31,10,10,194,NA,"2018-10-08 09:23:36",1,0,10,10,0,0,2.06,53
"83",230,"MUYITS",NA,"base","interview","2018-10-08 09:20:49",5,4,4,6,5,6,6,1,34,8,"",4,4,4,2,5,5,5,5,3,1,5,3,4,4,3,NA,NA,NA,NA,3,9,2,-1,-1,15,27,19,17,108,46,36,44,21,5,338,NA,"2018-10-08 09:26:27",1,0,10,10,0,0,1.39,23
"84",231,"ZKALPD",NA,"base","interview","2018-10-08 09:21:34",5,5,5,5,5,5,4,1,27,8,"",4,4,5,1,6,6,6,5,5,5,6,1,1,2,2,5,5,5,NA,3,9,2,-1,-1,10,28,26,24,105,45,46,28,23,19,354,NA,"2018-10-08 09:27:28",1,0,10,10,0,0,1.16,11
"85",232,"BJMBEN",NA,"base","interview","2018-10-08 09:21:49",5,7,2,7,2,6,7,2,50,6,"",5,5,4,2,6,5,7,6,6,5,7,4,5,3,4,NA,NA,NA,NA,3,9,2,-1,-1,18,70,49,44,198,81,68,95,26,21,670,NA,"2018-10-08 09:32:59",1,0,10,10,0,0,0.63,0
"86",233,"I0NBTE",NA,"base","interview","2018-10-08 09:22:11",7,7,4,7,4,7,7,2,63,8,"",4,4,1,1,6,6,7,7,7,3,2,2,4,5,4,NA,NA,NA,NA,3,9,2,-1,-1,42,74,62,38,182,71,51,58,34,27,639,NA,"2018-10-08 09:32:50",1,0,10,10,0,0,0.62,0
"87",235,"I0XCVP",NA,"base","interview","2018-10-08 09:23:10",7,6,5,6,7,7,7,2,72,4,"",4,4,2,2,4,3,7,6,6,4,2,6,6,6,6,NA,NA,NA,NA,3,9,2,-1,-1,19,53,26,25,50,54,54,110,29,26,446,NA,"2018-10-08 09:30:36",1,0,10,10,0,0,0.94,9
"88",236,"QNUCFB",NA,"base","interview","2018-10-08 09:23:31",5,3,3,5,3,4,4,1,76,8,"",4,5,5,1,7,7,7,7,7,6,7,4,4,3,2,NA,NA,NA,NA,3,9,2,-1,-1,34,86,53,44,194,88,58,62,22,18,659,NA,"2018-10-08 09:34:30",1,0,10,10,0,0,0.64,0
"89",240,"BMORNB",NA,"base","interview","2018-10-08 09:27:09",6,5,5,6,5,6,6,1,25,7,"",3,NA,NA,NA,5,4,6,5,4,4,6,3,3,5,4,4,4,4,4,4,10,2,0,0,6,55,22,NA,185,43,13,54,17,3,398,NA,"2018-10-08 09:33:47",1,0,10,10,0,0,1.47,40
"90",241,"BLTKJX",NA,"base","interview","2018-10-08 09:27:16",6,6,5,7,5,7,6,2,28,8,"",4,4,3,1,5,5,3,4,3,2,3,1,1,1,1,NA,NA,NA,NA,4,4,1,-1,-1,3,20,19,30,111,34,20,45,14,14,310,NA,"2018-10-08 09:32:26",1,0,10,10,0,0,1.56,31
"91",242,"JCXSGI",NA,"base","interview","2018-10-08 09:28:35",6,3,4,5,4,5,4,2,61,9,"Promotion",4,4,5,1,7,7,7,7,7,7,7,4,5,4,3,NA,NA,NA,NA,4,4,1,-1,-1,5,32,23,20,104,33,22,33,31,12,315,NA,"2018-10-08 09:33:50",1,0,10,10,0,0,1.4,22
"92",244,"8X3LRB",NA,"base","interview","2018-10-08 09:29:52",5,4,5,6,5,5,4,2,45,8,"",4,NA,NA,NA,4,5,6,5,3,1,3,2,3,3,3,NA,NA,NA,NA,4,10,2,0,0,4,24,16,NA,38,33,4,37,9,11,176,NA,"2018-10-08 09:32:48",1,0,10,10,0,0,2.12,81
"93",245,"SP7DQT",NA,"base","interview","2018-10-08 09:30:00",4,5,4,5,3,5,6,2,56,8,"",3,NA,NA,NA,7,7,7,7,3,7,7,4,4,3,3,NA,NA,NA,NA,4,10,2,0,0,11,31,16,NA,66,52,11,40,12,3,242,NA,"2018-10-08 09:34:02",1,0,10,10,0,0,1.75,51
"94",246,"8F2MFC",NA,"base","interview","2018-10-08 09:30:24",7,5,7,7,7,6,7,1,33,8,"",4,5,5,1,6,7,6,6,7,7,7,1,2,1,1,NA,NA,NA,NA,4,4,1,-1,-1,9,61,34,52,165,80,47,55,23,26,552,NA,"2018-10-08 09:39:36",1,0,10,10,0,0,0.78,1
"95",248,"6UOBWA",NA,"base","interview","2018-10-08 09:34:38",6,6,6,7,6,6,6,1,29,8,"",3,4,3,3,7,7,7,7,7,4,5,4,5,4,3,NA,NA,NA,NA,5,8,2,-1,1,159,250,14,15,615,23,15,32,15,11,795,NA,"2018-10-08 09:53:47",1,0,10,10,0,0,1.32,29
"96",249,"D9W7HK",NA,"base","interview","2018-10-08 09:35:16",5,4,3,7,6,6,7,2,52,7,"",3,3,4,5,7,6,7,7,4,6,7,1,1,1,1,NA,NA,NA,NA,5,8,2,-1,1,1,16,15,19,83,36,25,46,16,15,272,NA,"2018-10-08 09:39:48",1,0,10,10,0,0,1.68,74
"97",250,"MHFO7Z",NA,"base","interview","2018-10-08 09:35:55",5,5,5,6,6,6,7,1,39,7,"",4,4,4,4,7,7,7,7,7,5,7,4,6,5,3,5,5,5,5,5,8,2,-1,1,15,48,35,19,85,35,30,38,20,13,338,NA,"2018-10-08 09:41:33",1,0,10,10,0,0,1.15,10
"98",251,"XA1KFL",NA,"base","interview","2018-10-08 09:35:59",3,5,3,6,3,4,4,2,50,8,"",3,4,4,5,5,6,6,6,6,5,6,4,3,4,5,NA,NA,NA,NA,5,8,2,-1,1,6,59,21,33,38,51,46,101,32,6,393,NA,"2018-10-08 09:42:32",1,0,10,10,0,0,1.34,25
"99",252,"ZNBGTK",NA,"base","interview","2018-10-08 09:37:05",5,6,4,7,4,5,6,1,26,8,"",5,5,5,4,3,6,7,7,6,4,7,3,3,4,6,6,6,5,3,5,8,2,-1,1,40,44,32,16,85,56,20,42,17,23,375,NA,"2018-10-08 09:43:20",1,0,10,10,0,0,1.1,11
"100",254,"DG651B",NA,"base","interview","2018-10-08 09:38:22",7,7,4,4,3,5,5,1,70,8,"",4,5,4,4,6,6,7,7,7,6,7,4,3,4,4,NA,NA,NA,NA,5,8,2,-1,1,9,88,31,29,111,42,55,73,34,6,478,NA,"2018-10-08 09:46:20",1,0,10,10,0,0,1.05,11
"101",255,"YV1C1D",NA,"base","interview","2018-10-08 09:41:15",6,6,5,7,7,6,7,2,43,8,"",4,3,5,5,5,6,7,4,6,4,4,5,5,5,6,NA,NA,NA,NA,6,8,2,-1,1,26,62,49,32,138,63,40,156,31,44,641,NA,"2018-10-08 09:51:56",1,0,10,10,0,0,0.64,0
"102",256,"FAYBNC",NA,"base","interview","2018-10-08 09:41:26",6,5,6,6,5,5,6,1,34,8,"",4,5,5,5,6,6,5,5,6,4,5,2,4,2,4,5,5,5,4,6,8,2,-1,1,24,62,56,27,94,56,32,71,27,29,478,NA,"2018-10-08 09:49:24",1,0,10,10,0,0,0.79,2
"103",258,"8MMKGT",NA,"base","interview","2018-10-08 09:42:22",6,3,4,7,7,6,4,1,23,8,"",4,NA,NA,NA,3,5,7,5,7,6,6,7,7,6,7,6,6,6,NA,7,10,2,0,0,28,63,53,NA,235,93,13,102,41,40,668,NA,"2018-10-08 09:53:30",1,0,10,10,0,0,0.71,7
"104",259,"8KDEOJ",NA,"base","interview","2018-10-08 09:42:46",6,7,6,6,6,6,6,2,71,7,"",5,5,4,4,2,6,2,6,5,7,4,4,3,2,3,6,6,7,5,7,1,1,1,1,8,40,19,30,34,20,14,44,20,11,240,NA,"2018-10-08 09:46:46",1,0,10,10,0,0,1.63,33
"105",260,"TMFM9E",NA,"base","interview","2018-10-08 09:42:53",7,7,7,7,5,7,7,2,61,8,"",5,NA,NA,NA,6,4,6,3,2,4,6,6,6,6,4,NA,NA,NA,NA,7,10,2,0,0,8,24,17,NA,23,22,8,52,11,6,171,NA,"2018-10-08 09:45:44",1,0,10,10,0,0,2.08,69
"106",261,"YQQG4O",NA,"base","interview","2018-10-08 09:43:12",7,4,5,3,6,7,7,1,26,8,"",5,5,5,5,5,7,7,6,6,3,6,1,1,1,1,NA,NA,NA,NA,7,1,1,1,1,17,55,55,77,216,67,44,75,31,25,662,NA,"2018-10-08 09:54:14",1,0,10,10,0,0,0.63,0
"107",263,"WLZYOV",NA,"base","interview","2018-10-08 09:44:02",5,3,5,6,4,6,5,1,23,7,"",5,5,5,1,2,6,7,7,6,4,7,1,6,2,2,6,5,6,6,7,4,1,-1,-1,6,51,32,25,150,64,26,50,26,19,449,NA,"2018-10-08 09:51:31",1,0,10,10,0,0,1.03,7
"108",265,"H9PQ9Y",NA,"base","interview","2018-10-08 09:45:21",4,4,2,6,3,4,4,1,20,7,"",3,5,2,5,7,7,7,7,7,6,7,2,2,4,1,NA,NA,NA,NA,7,1,1,1,1,3,38,32,116,35,58,37,44,15,11,389,NA,"2018-10-08 09:51:50",1,0,10,10,0,0,1.4,31
"109",266,"0YRW3P",NA,"base","interview","2018-10-08 09:45:29",5,3,3,5,3,5,5,2,46,8,"",4,4,4,2,7,7,7,7,7,6,7,4,2,3,2,NA,NA,NA,NA,7,4,1,-1,-1,19,28,17,22,87,29,20,35,11,21,289,NA,"2018-10-08 09:50:18",1,0,10,10,0,0,1.39,23
"110",267,"FHNX9W",NA,"base","interview","2018-10-08 09:47:19",6,6,5,7,6,6,6,2,50,5,"",4,1,3,3,7,2,6,1,4,2,1,2,3,5,2,NA,NA,NA,NA,7,4,1,-1,-1,13,113,42,17,162,56,41,64,23,26,557,NA,"2018-10-08 09:56:36",1,0,10,10,0,0,0.84,4
"111",270,"DAAJWY",NA,"base","interview","2018-10-08 09:48:33",4,1,4,5,5,4,4,1,71,5,"",3,5,4,2,7,7,7,7,7,5,6,1,1,1,2,NA,NA,NA,NA,7,4,1,-1,-1,21,127,39,37,115,55,47,58,38,24,561,NA,"2018-10-08 09:57:54",1,0,10,10,0,0,0.71,0
"112",271,"PWEUSO",NA,"base","interview","2018-10-08 09:49:11",6,6,5,5,5,5,6,1,64,8,"",4,5,2,1,5,6,2,6,5,5,7,2,1,2,2,7,7,7,7,7,4,1,-1,-1,17,88,36,45,64,42,44,100,32,9,477,NA,"2018-10-08 09:57:08",1,0,10,10,0,0,0.92,8
"113",272,"2HISTQ",NA,"base","interview","2018-10-08 09:49:24",6,3,4,6,6,6,7,1,31,8,"",4,5,5,1,6,6,7,5,6,4,6,1,1,1,1,6,6,6,NA,7,4,1,-1,-1,364,50,50,49,143,54,33,58,17,16,481,NA,"2018-10-08 10:03:18",1,0,10,10,0,0,0.79,1
"114",273,"X2BU7W",NA,"base","interview","2018-10-08 09:50:35",7,6,6,7,6,6,7,2,37,8,"",4,5,5,1,1,7,7,7,5,6,7,1,1,1,1,NA,NA,NA,NA,8,4,1,-1,-1,20,55,33,50,260,63,35,48,25,19,608,NA,"2018-10-08 10:00:43",1,0,10,10,0,0,0.77,1
"115",275,"W67OIX",NA,"base","interview","2018-10-08 09:53:43",5,3,6,7,7,7,7,1,46,8,"",5,NA,NA,NA,3,2,6,4,3,5,5,1,1,1,1,6,6,6,5,8,5,1,0,0,11,34,23,NA,75,30,13,45,12,15,258,NA,"2018-10-08 09:58:01",1,0,10,10,0,0,1.44,22
"116",277,"OT9AKH",NA,"base","interview","2018-10-08 09:55:41",6,6,6,6,6,6,4,2,32,8,"",4,NA,NA,NA,6,6,6,6,6,5,6,1,1,1,1,5,5,5,5,8,5,1,0,0,10,65,31,NA,183,47,13,157,43,18,567,NA,"2018-10-08 10:05:08",1,0,10,10,0,0,0.93,8
"117",279,"WBN990",NA,"base","interview","2018-10-08 09:56:46",3,6,4,4,3,5,4,2,58,9,"Universität",3,NA,NA,NA,7,7,7,7,7,7,7,2,2,2,2,5,5,5,5,8,5,1,0,0,3,57,13,NA,24,33,6,31,20,13,200,NA,"2018-10-08 10:00:06",1,0,10,10,0,0,1.95,74
"118",281,"M26O5D",NA,"base","interview","2018-10-08 09:56:56",6,3,6,7,6,6,6,2,52,8,"",4,NA,NA,NA,7,7,7,6,6,6,7,2,1,2,2,NA,NA,NA,NA,8,5,1,0,0,12,30,34,NA,247,48,10,55,12,3,451,NA,"2018-10-08 10:04:27",1,0,10,10,0,0,1.49,41
"119",284,"EJXZBR",NA,"base","interview","2018-10-08 09:58:59",4,4,4,5,4,4,4,2,48,8,"",4,NA,NA,NA,6,5,6,6,5,6,6,1,2,2,1,4,4,4,4,9,5,1,0,0,4,26,16,NA,105,28,7,36,11,10,243,NA,"2018-10-08 10:03:02",1,0,10,10,0,0,1.9,52
"120",285,"W6J9QK",NA,"base","interview","2018-10-08 09:59:24",3,2,4,7,3,6,7,2,35,9,"Promotion",4,NA,NA,NA,7,7,7,7,7,7,7,1,1,1,1,NA,NA,NA,NA,9,5,1,0,0,4,20,9,NA,104,58,11,38,37,3,284,NA,"2018-10-08 10:04:08",1,0,10,10,0,0,1.95,67
"121",286,"WK0G2K",NA,"base","interview","2018-10-08 10:00:52",2,6,3,6,2,2,4,1,52,6,"",3,NA,NA,NA,7,2,6,5,7,5,6,7,6,5,6,2,3,3,1,9,10,2,0,0,11,38,92,NA,70,87,15,139,26,21,499,NA,"2018-10-08 10:09:11",1,0,10,10,0,0,0.96,10
"122",289,"PTLROJ",NA,"base","interview","2018-10-08 10:02:49",6,5,4,6,6,5,4,1,42,7,"",4,NA,NA,NA,6,5,7,4,6,6,7,2,1,1,3,5,5,5,4,9,10,2,0,0,253,51,110,NA,154,148,15,94,26,12,621,NA,"2018-10-08 10:17:12",1,0,10,10,0,0,0.77,7
"123",290,"D9KHMD",NA,"base","interview","2018-10-08 10:03:49",6,5,5,7,5,7,6,1,27,8,"",4,NA,NA,NA,5,6,6,5,6,4,6,3,4,4,4,NA,NA,NA,NA,9,10,2,0,0,19,37,20,NA,147,37,8,44,12,13,337,NA,"2018-10-08 10:09:26",1,0,10,10,0,0,1.39,27
"124",291,"0PRS6J",NA,"base","interview","2018-10-08 10:03:51",6,3,4,3,4,6,6,1,70,7,"",4,NA,NA,NA,7,7,7,7,7,4,7,5,3,5,5,NA,NA,NA,NA,9,10,2,0,0,10,67,82708,NA,77,52,17,58,92,41,445,NA,"2018-10-09 09:09:13",1,0,10,10,0,0,0.83,8
"125",292,"ERRP10",NA,"base","interview","2018-10-08 10:04:52",7,7,3,7,7,7,7,2,40,7,"",4,NA,NA,NA,4,3,5,2,1,1,4,4,5,3,2,7,7,7,7,9,10,2,0,0,16,53,52,NA,252,75,20,90,18,18,594,NA,"2018-10-08 10:14:46",1,0,10,10,0,0,0.81,3
"126",294,"IO4OHJ",NA,"base","interview","2018-10-08 10:08:29",6,6,5,7,6,7,6,2,36,8,"",3,NA,NA,NA,5,4,6,5,4,3,4,1,2,2,2,6,6,6,4,9,10,2,0,0,27,65,36,NA,242,70,16,76,19,5,556,NA,"2018-10-08 10:17:45",1,0,10,10,0,0,1.08,17
"127",295,"W4GLO7",NA,"base","interview","2018-10-08 10:09:31",6,4,3,7,4,7,6,2,59,8,"",5,5,4,3,6,2,7,2,3,5,5,5,6,6,3,NA,NA,NA,NA,10,7,2,1,-1,9,27,25,32,160,49,29,61,24,54,470,NA,"2018-10-08 10:17:21",1,0,10,10,0,0,0.98,6
"128",296,"9S848G",NA,"base","interview","2018-10-08 10:09:55",7,7,5,7,7,7,7,1,58,8,"",5,5,5,1,6,6,7,7,7,5,5,2,6,3,2,NA,NA,NA,NA,10,2,1,1,-1,39,128,48,82,222,105,78,138,26,36,902,NA,"2018-10-08 10:24:57",1,0,10,10,0,0,0.46,0
"129",297,"HZT59B",NA,"base","interview","2018-10-08 10:11:14",5,5,5,7,6,7,7,1,41,7,"",4,4,5,5,4,3,4,3,3,2,5,4,3,4,3,NA,NA,NA,NA,10,1,1,1,1,185,23,25,25,111,43,25,39,11,19,332,NA,"2018-10-08 10:19:40",1,0,10,10,0,0,1.18,15
"130",299,"K3WUHG",NA,"base","interview","2018-10-08 10:13:28",3,5,5,6,6,6,6,2,61,8,"",4,4,4,1,6,5,7,6,6,6,6,2,2,2,2,5,5,5,5,10,7,2,1,-1,28,78,37,453,128,63,50,81,32,29,557,NA,"2018-10-08 10:29:47",1,0,10,10,0,0,0.6,0
"131",301,"NB56V6",NA,"base","interview","2018-10-08 10:14:35",7,7,4,4,7,7,7,1,39,9,"Promotion",4,5,5,1,4,4,7,4,4,4,4,1,2,2,1,NA,NA,NA,NA,10,7,2,1,-1,21,46,22,31,141,63,27,49,23,16,439,NA,"2018-10-08 10:21:54",1,0,10,10,0,0,0.95,3
"132",303,"KH5A12",NA,"base","interview","2018-10-08 10:15:55",6,5,5,7,5,6,5,2,20,7,"",5,5,5,1,5,5,5,5,4,4,4,4,5,2,3,NA,NA,NA,NA,10,2,1,1,-1,24,69,41,37,141,69,40,53,31,15,520,NA,"2018-10-08 10:24:35",1,0,10,10,0,0,0.77,0
"133",304,"68Q14F",NA,"base","interview","2018-10-08 10:17:35",6,4,6,6,3,7,7,2,80,8,"",3,2,4,4,7,7,7,7,7,7,7,1,1,1,1,NA,NA,NA,NA,10,1,1,1,1,24,64,66,62,87,60,49,61,18,23,514,NA,"2018-10-08 10:26:10",1,0,10,10,0,0,0.75,2
"134",305,"U7B6I6",NA,"base","interview","2018-10-08 10:17:54",4,3,3,6,4,4,2,2,53,8,"",4,4,3,1,7,7,7,7,4,5,7,2,1,2,1,NA,NA,NA,NA,10,2,1,1,-1,6,25,39,27,83,37,34,53,12,22,338,NA,"2018-10-08 10:23:32",1,0,10,10,0,0,1.25,15
"135",306,"D6J0J9",NA,"base","interview","2018-10-08 10:19:04",5,4,5,6,4,6,6,1,31,8,"",3,3,4,1,5,6,7,5,5,5,5,1,2,3,2,6,5,5,4,10,2,1,1,-1,9,47,58,40,119,40,38,39,31,25,446,NA,"2018-10-08 10:26:30",1,0,10,10,0,0,0.91,4
"136",307,"7ISNCV",NA,"base","interview","2018-10-08 10:21:20",4,4,3,5,3,6,6,2,47,4,"",4,4,4,1,7,7,7,5,4,3,6,3,5,5,5,6,6,6,5,10,2,1,1,-1,13,44,37,27,139,81,55,56,59,11,522,NA,"2018-10-08 10:30:02",1,0,10,10,0,0,0.85,3
"137",309,"XVZ7F9",NA,"base","interview","2018-10-08 10:21:58",6,5,5,7,4,7,7,1,22,7,"",4,4,5,1,6,5,7,5,2,5,7,1,1,1,1,NA,NA,NA,NA,10,2,1,1,-1,14,48,58,39,99,67,39,72,23,14,473,NA,"2018-10-08 10:29:51",1,0,10,10,0,0,0.84,2
"138",310,"3G89IX",NA,"base","interview","2018-10-08 10:22:38",7,5,6,5,6,7,7,1,25,7,"",4,4,5,1,6,5,6,6,6,5,7,1,2,2,3,6,6,6,6,10,2,1,1,-1,46,146,350,88,409,205,90,183,32,45,1275,NA,"2018-10-08 10:49:12",1,0,10,10,0,0,0.31,0
"139",311,"2NHZZP",NA,"base","interview","2018-10-08 10:23:18",5,7,4,4,3,3,7,2,79,8,"",4,5,5,1,3,2,6,4,3,3,3,3,4,4,5,6,6,6,4,10,2,1,1,-1,20,119,60,77,148,78,74,108,42,24,750,NA,"2018-10-08 10:35:48",1,0,10,10,0,0,0.53,0
"140",314,"EL1W1B",NA,"base","interview","2018-10-08 10:24:40",3,3,3,5,2,3,6,1,28,8,"",4,4,4,5,6,6,7,6,2,5,5,2,2,1,7,NA,NA,NA,NA,11,1,1,1,1,7,62,37,48,144,97,47,69,34,7,552,NA,"2018-10-08 10:33:52",1,0,10,10,0,0,0.93,9
"141",316,"N68E31",NA,"base","interview","2018-10-08 10:28:29",5,3,2,3,5,4,5,1,23,7,"",4,4,4,4,5,6,6,4,6,6,6,2,3,2,2,5,5,5,4,11,3,1,-1,1,19,38,20,26,87,33,19,35,19,25,321,NA,"2018-10-08 10:33:50",1,0,10,10,0,0,1.2,14
"142",317,"9SICRV",NA,"base","interview","2018-10-08 10:28:29",1,1,1,6,7,1,6,1,70,8,"",1,2,3,5,5,6,6,6,2,3,7,1,1,1,1,6,6,6,6,11,3,1,-1,1,30,146,88,107,222,78,79,113,29,41,933,NA,"2018-10-08 10:44:02",1,0,10,10,0,0,0.44,0
"143",318,"IZQGPB",NA,"base","interview","2018-10-08 10:29:20",5,3,3,7,5,5,5,1,35,8,"",5,5,5,5,7,7,7,7,7,6,7,1,1,1,1,NA,NA,NA,NA,11,3,1,-1,1,18,49,37,35,290,90,36,63,51,17,686,NA,"2018-10-08 10:40:46",1,0,10,10,0,0,0.72,0
"144",319,"E4TYF3",NA,"base","interview","2018-10-08 10:30:44",6,4,6,5,6,6,4,1,35,5,"",4,5,4,5,7,7,7,6,6,4,7,3,3,3,1,NA,NA,NA,NA,11,3,1,-1,1,5,70,19,25,101,44,27,45,25,3,364,NA,"2018-10-08 10:36:48",1,0,10,10,0,0,1.4,35
"145",320,"46S9T3",NA,"base","interview","2018-10-08 10:31:31",7,7,7,6,6,7,7,2,61,8,"",4,3,5,5,7,7,7,6,6,7,6,1,1,1,1,7,6,7,6,11,3,1,-1,1,2,64,58,30,167,52,37,66,23,7,506,NA,"2018-10-08 10:39:57",1,0,10,10,0,0,1.16,29
"146",321,"PNU7P4",NA,"base","interview","2018-10-08 10:32:42",7,6,7,7,7,7,7,1,50,8,"",5,5,5,5,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,11,3,1,-1,1,8,34,15,16,104,36,14,39,23,17,306,NA,"2018-10-08 10:37:48",1,0,10,10,0,0,1.44,23
"147",325,"4HKH6R",NA,"base","interview","2018-10-08 10:35:24",6,4,5,7,6,6,7,1,21,7,"",5,5,5,5,7,7,7,7,7,5,7,1,2,1,2,6,NA,6,NA,12,3,1,-1,1,6,70,71,44,186,91,36,67,42,49,662,NA,"2018-10-08 10:46:26",1,0,10,10,0,0,0.72,4
"148",326,"FYW8ME",NA,"base","interview","2018-10-08 10:35:57",7,6,6,6,6,7,7,2,51,7,"",4,4,5,5,5,5,6,6,4,4,6,6,6,6,6,6,6,6,6,12,3,1,-1,1,13,15,13,16,73,22,17,29,23,15,236,NA,"2018-10-08 10:39:53",1,0,10,10,0,0,1.74,38
"149",328,"HYRUD9",NA,"base","interview","2018-10-08 10:36:38",5,5,6,7,5,7,6,2,48,8,"",3,1,3,3,7,6,6,7,6,5,3,3,3,2,2,6,6,7,5,12,3,1,-1,1,3,16,11,4,7,14,13,19,7,17,111,NA,"2018-10-08 10:38:29",1,0,10,10,0,0,2.65,152
"150",329,"PV6NWH",NA,"base","interview","2018-10-08 10:38:00",3,3,3,3,3,3,3,1,65,4,"",1,1,1,1,4,2,1,1,1,1,1,3,2,2,1,NA,NA,NA,NA,13,7,2,1,-1,25,48,28,27,9,34,31,66,40,8,316,NA,"2018-10-08 10:43:16",1,0,10,10,0,0,1.23,58
"151",330,"6LVXF0",NA,"base","interview","2018-10-08 10:38:53",6,5,4,4,3,6,6,2,53,8,"",5,5,3,4,6,4,6,4,6,3,6,2,1,1,1,NA,NA,NA,NA,13,1,1,1,1,8,40,16,32,106,32,21,35,15,13,318,NA,"2018-10-08 10:44:11",1,0,10,10,0,0,1.35,18
"152",332,"7RUFXW",NA,"base","interview","2018-10-08 10:42:24",5,2,3,1,5,2,7,1,33,8,"",1,5,4,5,4,4,7,4,7,2,7,2,1,1,1,NA,NA,NA,NA,13,8,2,-1,1,37,50,39,29,150,76,52,65,14,28,540,NA,"2018-10-08 10:51:24",1,0,10,10,0,0,0.78,2
"153",333,"YS4RG8",NA,"base","interview","2018-10-08 10:42:33",6,3,6,7,5,6,6,2,70,7,"",4,5,5,5,7,6,7,6,6,4,7,5,5,4,3,6,6,6,5,13,8,2,-1,1,5,24,19,22,33,40,32,55,33,16,279,NA,"2018-10-08 10:47:12",1,0,10,10,0,0,1.48,29
"154",335,"5TEJ0Z",NA,"base","interview","2018-10-08 10:44:31",4,6,4,7,3,7,7,1,28,7,"",4,4,4,5,7,5,7,7,7,6,7,2,2,2,2,6,6,6,4,13,8,2,-1,1,7,23,29,25,77,60,38,35,17,10,321,NA,"2018-10-08 10:49:52",1,0,10,10,0,0,1.32,18
"155",336,"KGUSI3",NA,"base","interview","2018-10-08 10:45:26",6,5,6,6,5,6,6,1,55,8,"",3,5,4,5,7,7,7,7,7,5,7,4,4,2,2,NA,NA,NA,NA,13,8,2,-1,1,7,25,15,26,17,31,30,61,17,23,252,NA,"2018-10-08 10:49:38",1,0,10,10,0,0,1.49,45
"156",338,"LL0VCO",NA,"base","interview","2018-10-08 10:47:26",6,7,6,7,7,7,7,2,28,8,"",4,5,5,5,5,5,6,4,2,3,7,3,4,6,5,NA,NA,NA,NA,14,8,2,-1,1,12,39,24,24,133,34,72,47,24,23,432,NA,"2018-10-08 10:54:38",1,0,10,10,0,0,1,6
"157",339,"040T60",NA,"base","interview","2018-10-08 10:50:05",7,5,5,7,7,7,7,1,52,5,"",5,5,5,1,3,1,4,1,2,1,3,2,3,3,1,NA,NA,NA,NA,14,9,2,-1,-1,10,37,26,24,134,34,26,50,15,15,371,NA,"2018-10-08 10:56:16",1,0,10,10,0,0,1.16,9
"158",341,"SSI6B0",NA,"base","interview","2018-10-08 10:50:26",5,4,3,7,5,4,4,2,20,7,"",4,NA,NA,NA,1,6,7,7,7,5,6,2,3,1,3,NA,NA,NA,NA,14,10,2,0,0,21,47,42,NA,191,76,15,61,25,30,508,NA,"2018-10-08 10:58:54",1,0,10,10,0,0,0.85,6
"159",343,"W5W248",NA,"base","interview","2018-10-08 10:51:23",6,6,5,6,5,6,6,2,34,8,"",4,4,4,2,3,5,5,5,3,4,6,5,5,5,5,NA,NA,NA,NA,14,7,2,1,-1,10,36,20,42,159,56,42,56,19,12,452,NA,"2018-10-08 10:58:55",1,0,10,10,0,0,1.02,6
"160",344,"N21XEO",NA,"base","interview","2018-10-08 10:54:12",3,5,3,4,6,5,4,1,33,8,"",3,3,4,4,5,4,5,4,4,4,4,4,5,5,5,NA,NA,NA,NA,14,4,1,-1,-1,4,25,16,17,11,34,19,26,20,21,193,NA,"2018-10-08 10:57:25",1,0,10,10,0,0,1.81,79
"161",345,"KR90JF",NA,"base","interview","2018-10-08 11:01:28",7,5,5,5,6,6,6,2,54,7,"",5,NA,NA,NA,7,6,7,7,7,6,7,5,5,5,5,NA,NA,NA,NA,14,5,1,0,0,14,101,19,NA,164,76,10,85,40,39,548,NA,"2018-10-08 11:10:36",1,0,10,10,0,0,0.97,15
